id,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,nbumps6,nbumps7,nbumps89,energy,maxenergy,class
1,a,a,W,37640,596,37,58,a,0,0,0,0,0,0,0,0,0,0,0
2,a,b,W,42930,341,54,-11,a,5,2,3,0,0,0,0,0,6200,3000,0
3,b,b,W,45470,573,64,65,a,8,5,2,1,0,0,0,0,33600,20000,0
4,b,b,W,17150,198,-39,-44,a,3,1,1,1,0,0,0,0,24200,20000,0
5,b,a,W,44600,591,64,75,a,1,0,1,0,0,0,0,0,2000,2000,0
6,b,a,W,40150,525,33,40,a,0,0,0,0,0,0,0,0,0,0,0
7,a,a,W,17860,200,-44,-50,a,2,1,1,0,0,0,0,0,4200,4000,0
8,a,a,N,4190,43,-58,-49,a,0,0,0,0,0,0,0,0,0,0,0
9,a,a,N,1150,22,-88,-73,a,1,1,0,0,0,0,0,0,100,100,0
10,a,a,N,2020,18,-76,-76,a,1,1,0,0,0,0,0,0,400,400,0
11,a,a,N,1650,21,-79,-69,a,0,0,0,0,0,0,0,0,0,0,0
12,a,a,N,6040,41,-13,-33,a,2,1,1,0,0,0,0,0,3300,3000,0
13,a,a,W,13690,147,-66,-67,a,2,1,1,0,0,0,0,0,3300,3000,0
14,a,a,W,54830,694,46,68,a,5,3,2,0,0,0,0,0,4000,1000,0
15,a,a,W,34280,460,-12,5,a,1,0,1,0,0,0,0,0,3000,3000,0
16,a,a,W,24970,325,-35,-26,a,2,0,2,0,0,0,0,0,4000,3000,0
17,a,a,W,46740,553,27,29,a,6,3,3,0,0,0,0,0,5800,2000,0
18,a,a,W,23040,318,-39,-28,a,2,1,1,0,0,0,0,0,1300,1000,0
19,a,b,N,5380,90,-18,58,a,1,0,1,0,0,0,0,0,2000,2000,0
20,a,b,W,33540,570,-6,34,a,0,0,0,0,0,0,0,0,0,0,0
21,a,b,W,39980,629,14,43,b,2,1,1,0,0,0,0,0,2800,2000,0
22,a,b,W,60910,882,55,62,a,2,0,1,0,1,0,0,0,303000,300000,0
23,a,b,W,150220,709,53,-25,a,2,0,1,1,0,0,0,0,23000,20000,0
24,b,b,W,109110,417,6,-54,a,2,2,0,0,0,0,0,0,1300,800,0
25,b,b,W,70490,330,-38,-37,a,6,1,5,0,0,0,0,0,10300,3000,0
26,a,b,W,83570,488,-24,-3,a,3,2,1,0,0,0,0,0,1800,1000,0
27,a,b,W,46580,260,-56,-48,a,1,0,1,0,0,0,0,0,2000,2000,0
